Combination_ID	CADD1	CADD2	CADD3	CADD4	BiolDist	ISPP_AR_A	ISPP_AR_B	ISPP_AD_A	ISPP_AD_B	ISPP_XL_A	HIPred_A	HIPred_B	dn_ds_A	BPO_sim	KG_dist
testpos_22	4.0	-3	2.574	-3	NaN	0.008	0.0	0.0	0.049	-0.5	0.296	0.784	0.161	0.011	1.0
testpos_23	4.361	4.361	6.415	6.415	4.444	0.078	0.118	0.013	0.018	-0.5	0.112	0.112	0.703	0.945	1.0
testpos_24	2.901	-3	3.939	-3	18.889	0.714	0.071	0.006	0.0	-0.5	0.489	0.241	0.378	0.525	1.0
testpos_25	4.154	-3	3.011	-3	12.8	0.071	0.8	0.0	0.009	-0.5	0.241	0.546	0.25	0.298	1.0
testpos_26	4.941	-3	2.318	-3	12.8	0.071	0.8	0.0	0.009	-0.5	0.241	0.546	0.25	0.298	1.0
testpos_27	4.495	-3	1.768	-3	12.8	0.071	0.8	0.0	0.009	-0.5	0.241	0.546	0.25	0.298	1.0
testpos_28	3.804	-3	1.016	-3	12.8	0.071	0.8	0.0	0.009	-0.5	0.241	0.546	0.25	0.298	1.0
testpos_29	5.702	-3	3.011	-3	11.25	0.714	0.8	0.006	0.009	-0.5	0.489	0.546	0.378	0.461	1.0
testpos_30	3.222	-3	2.977	-3	11.25	0.714	0.8	0.006	0.009	-0.5	0.489	0.546	0.378	0.461	1.0
testpos_31	4.024	4.024	5.155	2.544	10.833	0.065	0.115	0.032	0.134	-0.5	0.545	0.595	0.333	0.125	1.0
testpos_32	3.182	-3	1.557	-3	11.111	0.739	0.02	0.016	0.0	-0.5	0.289	0.353	0.057	0.241	1.0
testpos_33	2.373	-3	3.336	-3	NaN	0.278	0.739	0.03	0.016	-0.5	0.426	0.289	0.545	0.35	1.0
testpos_34	1.97	-3	3.438	-3	NaN	0.278	0.739	0.03	0.016	-0.5	0.426	0.289	0.545	0.35	1.0
testpos_35	2.041	-3	8.461	-3	8.056	0.155	0.739	0.09	0.016	-0.5	0.542	0.289	0.176	0.494	1.0
testpos_36	2.929	-3	2.265	-3	20.389	0.759	0.739	0.0	0.016	-0.5	0.604	0.289	0.246	0.457	1.0
testpos_37	0.509	-3	2.615	-3	15.787	0.104	0.739	0.065	0.016	-0.5	0.543	0.289	0.453	0.41	1.0
testpos_38	4.105	3.697	2.218	-3	19.444	0.0	0.006	0.013	0.022	0.0	0.182	0.229	0.58	0.651	1.0
testpos_39	7.892	-3	2.084	-3	5.203	0.013	0.806	0.814	0.052	-0.5	0.749	0.566	0.137	0.146	2.0
testpos_40	2.777	-3	4.194	-3	11.986	0.03	0.069	0.006	0.569	-0.5	0.815	0.519	0.222	0.375	1.0
testpos_41	3.325	-3	3.75	-3	5.0	0.038	0.8	0.013	0.009	-0.5	0.551	0.546	0.46	0.156	1.0
testpos_42	3.62	-3	4.291	-3	5.0	0.038	0.071	0.013	0.0	-0.5	0.551	0.241	0.46	0.117	1.0
testpos_43	1.981	-3	6.625	-3	5.0	0.038	0.071	0.013	0.0	-0.5	0.551	0.241	0.46	0.117	1.0
testpos_44	2.99	-3	4.243	-3	71.369	0.778	0.143	0.053	0.0	-0.5	0.251	0.3	0.326	0.411	1.0
testpos_45	2.99	2.99	4.243	4.243	71.369	0.778	0.143	0.053	0.0	-0.5	0.251	0.3	0.326	0.411	1.0
testpos_46	2.99	2.99	4.243	-3	71.369	0.778	0.143	0.053	0.0	-0.5	0.251	0.3	0.326	0.411	1.0
testpos_47	4.196	4.196	2.238	-3	71.369	0.778	0.143	0.053	0.0	-0.5	0.251	0.3	0.326	0.411	1.0
testpos_48	7.693	7.693	2.238	-3	71.369	0.778	0.143	0.053	0.0	-0.5	0.251	0.3	0.326	0.411	1.0
testpos_49	4.434	-3	1.628	-3	NaN	0.048	0.0	0.18	0.049	-0.5	0.792	0.784	0.132	0.043	1.0
testpos_50	4.314	-3	0.914	0.914	5.0	0.048	0.013	0.18	0.009	-0.5	0.792	0.511	0.132	0.06	1.0
testpos_51	2.472	-3	4.303	4.303	NaN	0.098	0.0	0.688	0.049	-0.5	0.639	0.784	0.173	0.02	1.0
testpos_52	3.822	-3	3.042	-3	16.802	0.086	0.019	0.638	0.714	-0.5	0.476	0.704	0.207	0.07	1.0
testpos_53	3.824	-3	4.877	4.877	NaN	0.278	0.739	0.03	0.016	-0.5	0.426	0.289	0.545	0.35	1.0
